company,client,method,from,to,sample_size,con,lab,ld,ukip,grn,snp,pdf
Ipsos MORI,Sun Times,,,2006-08-31,,0.35,0.36,0.19,,,,
Populus,Times,,,2006-09-01,,0.36,0.32,0.2,,,,
YouGov,Telegraph,,,2006-09-06,,0.4,0.32,0.17,,,,
BPIX,Mail on Sunday,,,2006-09-08,,0.4,0.3,0.14,,,,
ICM,SMirror,,,2006-09-13,,0.37,0.33,0.21,,,,
YouGov,Sun,,,2006-09-13,,0.38,0.31,0.18,,,,
YouGov,Telegraph,,,2006-09-19,,0.38,0.31,0.18,,,,
ICM,Guardian,,,2006-09-19,,0.36,0.32,0.22,,,,
YouGov,Sun Times,,,2006-09-21,,0.37,0.33,0.18,,,,
YouGov,Telegraph,,,2006-09-27,,0.36,0.36,0.16,,,,
ICM,SMirror,,,2006-09-28,,0.36,0.35,0.19,,,,
ICM,Sun Times,,,2006-10-04,,0.38,0.32,0.2,,,,
Populus,Times,,,2006-10-06,,0.36,0.35,0.18,,,,
Ipsos MORI,FT,,,2006-10-12,,0.35,0.37,0.18,,,,
ICM,Guardian,,,2006-10-20,,0.39,0.29,0.22,,,,
ComRes,IoS,,,2006-10-20,,0.38,0.32,0.14,,,,
YouGov,Telegraph,,,2006-10-24,,0.39,0.32,0.16,,,,
Populus,Times,,,2006-11-03,,0.36,0.33,0.2,,,,
Ipsos MORI,Observer,,,2006-11-09,,0.35,0.33,0.2,,,,
ICM,Guardian,,,2006-11-17,,0.37,0.32,0.22,,,,
ComRes,Ind,,,2006-11-24,,0.34,0.36,0.17,,,,
YouGov,Telegraph,,,2006-11-28,,0.37,0.32,0.16,,,,
ICM,NOTW,,,2006-11-29,,0.39,0.31,0.2,,,,
Ipsos MORI,,,,2006-12-07,,0.37,0.36,0.18,,,,
Populus,Times,,,2006-12-08,,0.34,0.33,0.19,,,,
ICM,Guardian,,,2006-12-15,,0.4,0.32,0.18,,,,
YouGov,Telegraph,,,2006-12-18,,0.37,0.33,0.17,,,,
ComRes,Ind,,,2006-12-19,,0.36,0.37,0.14,,,,
YouGov,Sun Times,,,2006-12-20,,0.37,0.32,0.15,,,,
Populus,Times,,,2007-01-05,,0.39,0.32,0.18,,,,
Ipsos MORI,,,,2007-01-19,,0.39,0.35,0.19,,,,
ICM,Guardian,,,2007-01-19,,0.37,0.31,0.23,,,,
YouGov,Telegraph,,,2007-01-22,,0.38,0.31,0.18,,,,
ComRes,Ind,,,2007-01-26,,0.34,0.29,0.21,,,,
Populus,Times,,,2007-02-02,,0.36,0.33,0.19,,,,
YouGov,Sun Times,,,2007-02-08,,0.37,0.32,0.18,,,,
ICM,Guardian,,,2007-02-16,,0.4,0.31,0.19,,,,
YouGov,Telegraph,,,2007-02-19,,0.37,0.32,0.17,,,,
ComRes,Ind,,,2007-02-23,,0.4,0.29,0.17,,,,
Populus,Times,,,2007-03-02,,0.38,0.3,0.18,,,,
ICM,SMirror,,,2007-03-07,,0.4,0.29,0.21,,,,
Ipsos MORI,Capibus,,,2007-03-09,,0.41,0.33,0.17,,,,
YouGov,Sun Times,,,2007-03-15,,0.38,0.32,0.16,,,,
ICM,Guardian,,,2007-03-16,,0.41,0.31,0.18,,,,
YouGov,Telegraph,,,2007-03-21,,0.39,0.31,0.19,,,,
ComRes,Ind,,,2007-03-23,,0.35,0.31,0.2,,,,
YouGov,Telegraph,,,2007-03-26,,0.39,0.32,0.17,,,,
YouGov,Sun Times,,,2007-04-04,,0.39,0.32,0.16,,,,
Ipsos MORI,,,,2007-04-13,,0.35,0.34,0.19,,,,
Populus,Times,,,2007-04-13,,0.37,0.29,0.2,,,,
Ipsos MORI,Observer,,,2007-04-19,,0.38,0.31,0.2,,,,
ICM,Guardian,,,2007-04-20,,0.37,0.3,0.21,,,,
ComRes,Ind,,,2007-04-20,,0.36,0.27,0.22,,,,
YouGov,Telegraph,,,2007-04-23,,0.37,0.32,0.18,,,,
YouGov,Harriet Harman deputy leadership campaign,,,2007-05-01,,0.37,0.32,0.16,,,,
YouGov,Sun Times,,,2007-05-10,,0.38,0.34,0.15,,,,
Ipsos MORI,,,,2007-05-11,,0.33,0.32,0.2,,,,
Populus,Times,,,2007-05-11,,0.37,0.33,0.17,,,,
Ipsos MORI,,,,2007-05-17,,0.37,0.35,0.18,,,,
ICM,Guardian,,,2007-05-18,,0.34,0.32,0.21,,,,
YouGov,Telegraph,,,2007-05-21,,0.39,0.33,0.15,,,,
ComRes,Ind,,,2007-05-25,,0.35,0.31,0.19,,,,
ICM,Sun Times,,,2007-05-30,,0.37,0.32,0.21,,,,
Populus,Times,,,2007-06-01,,0.36,0.33,0.17,,,,
Ipsos MORI,,,,2007-06-08,,0.36,0.33,0.17,,,,
Ipsos MORI,Observer,,,2007-06-14,,0.36,0.39,0.15,,,,
YouGov,Sun Times,,,2007-06-14,,0.37,0.35,0.14,,,,
ComRes,Ind,,,2007-06-22,,0.37,0.32,0.18,,,,
ICM,Guardian,,,2007-06-27,,0.35,0.39,0.18,,,,
YouGov,Telegraph,,,2007-06-28,,0.35,0.38,0.15,,,,
Populus,Times,,,2007-06-29,,0.34,0.37,0.18,,,,
ICM,SMirror,,,2007-07-04,,0.35,0.37,0.17,,,,
Ipsos MORI,,,,2007-07-06,,0.36,0.4,0.14,,,,
ICM,Sun Times,,,2007-07-11,,0.33,0.4,0.19,,,,
Ipsos MORI,Observer,,,2007-07-12,,0.35,0.41,0.15,,,,
YouGov,Sun Times,,,2007-07-19,,0.33,0.4,0.15,,,,
ICM,Guardian,,,2007-07-20,,0.32,0.38,0.2,,,,
YouGov,Telegraph,,,2007-07-23,,0.32,0.41,0.16,,,,
ComRes,Ind,,,2007-07-27,,0.34,0.37,0.16,,,,
Populus,Times,,,2007-07-27,,0.33,0.39,0.15,,,,
Ipsos MORI,,,,2007-08-03,,0.35,0.39,0.15,,,,
ICM,SMirror,,,2007-08-08,,0.33,0.39,0.18,,,,
Ipsos MORI,Sun,,,2007-08-08,,0.33,0.38,0.15,,,,
YouGov,Sun Times,,,2007-08-09,,0.32,0.42,0.14,,,,
ICM,Guardian,,,2007-08-22,,0.34,0.39,0.18,,,,
Ipsos MORI,Sun,,,2007-08-23,,0.36,0.41,0.16,,,,
YouGov,Telegraph,,,2007-08-24,,0.33,0.41,0.14,,,,
Populus,Tories,,,2007-08-25,,0.36,0.37,0.16,,,,
YouGov,GMTV,,,2007-08-29,,0.35,0.38,0.15,,,,
ComRes,Ind,,,2007-08-29,,0.36,0.36,0.15,,,,
Ipsos MORI,,,,2007-08-31,,0.33,0.39,0.16,,,,
Populus,Times,,,2007-08-31,,0.36,0.37,0.18,,,,
ComRes,Ind,,,2007-09-11,,0.34,0.37,0.15,,,,
ICM,Guardian,,,2007-09-13,,0.32,0.4,0.2,,,,
YouGov,Sun Times,,,2007-09-13,,0.34,0.39,0.15,,,,
YouGov,Telegraph,,,2007-09-19,,0.33,0.39,0.16,,,,
ICM,SMirror,,,2007-09-19,,0.33,0.39,0.19,,,,
Ipsos MORI,,,,2007-09-20,,0.31,0.44,0.15,,,,
Ipsos MORI,Sun,,,2007-09-20,,0.34,0.42,0.14,,,,
YouGov,Channel 4,,,2007-09-24,,0.33,0.44,0.13,,,,
YouGov,Telegraph,,,2007-09-26,,0.32,0.43,0.15,,,,
Populus,Times,,,2007-09-26,,0.31,0.41,0.17,,,,
BPIX,Mail on Sunday,,,2007-09-27,,0.34,0.41,0.12,,,,
Ipsos MORI,Observer,,,2007-09-27,,0.34,0.41,0.16,,,,
Populus,Times,,,2007-10-02,,0.36,0.39,0.15,,,,
ICM,Guardian,,,2007-10-03,,0.38,0.38,0.16,,,,
YouGov,Channel 4,,,2007-10-03,,0.36,0.4,0.13,,,,
BPIX,Mail on Sunday,,,2007-10-04,,0.39,0.38,0.12,,,,
Populus,Times,,,2007-10-05,,0.38,0.4,0.12,,,,
YouGov,Sun Times,,,2007-10-05,,0.41,0.38,0.11,,,,
ICM,Sun Times,,,2007-10-10,,0.43,0.36,0.14,,,,
Ipsos MORI,Sun,,,2007-10-10,,0.41,0.38,0.11,,,,
BPIX,Mail on Sunday,,,2007-10-11,,0.41,0.37,0.11,,,,
Ipsos MORI,Observer,,,2007-10-18,,0.4,0.41,0.13,,,,
YouGov,Telegraph,,,2007-10-22,,0.41,0.38,0.11,,,,
ICM,Guardian,,,2007-10-26,,0.4,0.35,0.18,,,,
ComRes,Ind,,,2007-10-26,,0.41,0.33,0.16,,,,
Ipsos MORI,Sun,,,2007-10-31,,0.4,0.35,0.13,,,,
Populus,Times,,,2007-11-02,,0.36,0.37,0.16,,,,
ICM,S Express,,,2007-11-08,,0.43,0.35,0.15,,,,
YouGov,Sun Times,,,2007-11-14,,0.41,0.35,0.13,,,,
ICM,Guardian,,,2007-11-21,,0.37,0.31,0.21,,,,
YouGov,Channel 4,,,2007-11-21,,0.41,0.32,0.14,,,,
BPIX,Mail on Sunday,,,2007-11-22,,0.4,0.35,,,,,
Ipsos MORI,,,,2007-11-23,,0.41,0.32,0.17,,,,
ComRes,Ind,,,2007-11-23,,0.4,0.27,0.18,,,,
YouGov,Telegraph,,,2007-11-26,,0.43,0.32,0.14,,,,
ICM,NOTW,,,2007-11-28,,0.41,0.3,0.19,,,,
Ipsos MORI,,,,2007-11-29,,0.42,0.35,0.14,,,,
Populus,Times,,,2007-12-07,,0.4,0.32,0.16,,,,
YouGov,Sun Times,,,2007-12-13,,0.45,0.32,0.14,,,,
ComRes,Ind,,,2007-12-14,,0.41,0.3,0.16,,,,
YouGov,Telegraph,,,2007-12-17,,0.43,0.31,0.16,,,,
ICM,Guardian,,,2007-12-18,,0.39,0.34,0.18,,,,
YouGov,Sun Times,,,2007-12-20,,0.4,0.35,0.15,,,,
Populus,Times,,,2008-01-04,,0.37,0.33,0.19,,,,
ICM,Sun Times,,,2008-01-09,,0.4,0.33,0.18,,,,
Ipsos MORI,Sun,,,2008-01-09,,0.42,0.32,0.15,,,,
YouGov,Sun Times,,,2008-01-10,,0.43,0.33,0.14,,,,
Ipsos MORI,,,,2008-01-11,,0.41,0.32,0.17,,,,
Ipsos MORI,,,,2008-01-17,,0.37,0.38,0.16,,,,
ICM,Guardian,,,2008-01-18,,0.37,0.35,0.2,,,,
YouGov,Telegraph,,,2008-01-21,,0.41,0.33,0.16,,,,
ComRes,Ind,,,2008-01-25,,0.38,0.3,0.17,,,,
ICM,Sun Times,,,2008-01-30,,0.37,0.32,0.21,,,,
Populus,Times,,,2008-02-01,,0.4,0.31,0.17,,,,
Ipsos MORI,,,,2008-02-08,,0.42,0.33,0.13,,,,
YouGov,Sun Times,,,2008-02-14,,0.41,0.32,0.16,,,,
ICM,Guardian,,,2008-02-15,,0.37,0.34,0.21,,,,
YouGov,Econ,,,2008-02-18,,0.4,0.34,0.16,,,,
Ipsos MORI,,,,2008-02-21,,0.39,0.37,0.16,,,,
ComRes,Ind,,,2008-02-22,,0.41,0.3,0.17,,,,
YouGov,Telegraph,,,2008-02-25,,0.4,0.33,0.16,,,,
Ipsos MORI,,,,2008-03-07,,0.41,0.32,0.15,,,,
Populus,Times,,,2008-03-07,,0.37,0.34,0.19,,,,
Ipsos MORI,,,,2008-03-13,,0.4,0.35,0.18,,,,
YouGov,Sun Times,,,2008-03-13,,0.43,0.27,0.16,,,,
ICM,Guardian,,,2008-03-14,,0.42,0.29,0.21,,,,
ICM,NOTW,,,2008-03-14,,0.4,0.31,0.2,,,,
YouGov,Telegraph,,,2008-03-25,,0.43,0.29,0.17,,,,
ComRes,Ind,,,2008-03-28,,0.38,0.31,0.17,,,,
ICM,Sun Times,,,2008-04-02,,0.43,0.32,0.18,,,,
Populus,Times,,,2008-04-04,,0.39,0.33,0.17,,,,
YouGov,Sun Times,,,2008-04-10,,0.44,0.28,0.17,,,,
Populus,SMirror,,,2008-04-16,,0.4,0.3,0.19,,,,
Ipsos MORI,Observer,,,2008-04-17,,0.4,0.31,0.19,,,,
Ipsos MORI,,,,2008-04-18,,0.38,0.32,0.17,,,,
ICM,Guardian,,,2008-04-18,,0.39,0.34,0.19,,,,
YouGov,Telegraph,,,2008-04-21,,0.44,0.26,0.17,,,,
ICM,Sun Times,,,2008-04-23,,0.39,0.29,0.2,,,,
ComRes,Ind,,,2008-04-25,,0.4,0.26,0.2,,,,
Populus,Times,,,2008-05-02,,0.4,0.29,0.19,,,,
YouGov,Sun,,,2008-05-07,,0.49,0.23,0.17,,,,
ComRes,IoS,,,2008-05-14,,0.43,0.26,0.19,,,,
Ipsos MORI,,,,2008-05-15,,0.45,0.32,0.14,,,,
Ipsos MORI,,,,2008-05-15,,0.41,0.28,0.2,,,,
YouGov,Sun Times,,,2008-05-15,,0.45,0.25,0.18,,,,
ICM,Guardian,,,2008-05-16,,0.41,0.27,0.22,,,,
YouGov,Telegraph,,,2008-05-27,,0.47,0.23,0.18,,,,
ComRes,Ind,,,2008-05-30,,0.44,0.3,0.16,,,,
ICM,Sun Times,,,2008-06-04,,0.42,0.26,0.21,,,,
Populus,Times,,,2008-06-06,,0.45,0.25,0.2,,,,
ComRes,IoS,,,2008-06-11,,0.44,0.26,0.17,,,,
YouGov,Sun Times,,,2008-06-12,,0.47,0.25,0.18,,,,
Ipsos MORI,Ind,,,2008-06-13,,0.45,0.28,0.16,,,,
BPIX,Mail on Sunday,,,2008-06-18,,0.49,0.26,0.14,,,,
ICM,Guardian,,,2008-06-20,,0.45,0.25,0.2,,,,
YouGov,Telegraph,,,2008-06-23,,0.46,0.28,0.15,,,,
ComRes,Ind,,,2008-06-25,,0.46,0.25,0.18,,,,
Populus,Times,,,2008-07-04,,0.41,0.28,0.19,,,,
YouGov,Sun Times,,,2008-07-10,,0.47,0.25,0.16,,,,
ComRes,IoS,,,2008-07-16,,0.45,0.24,0.16,,,,
Ipsos MORI,,,,2008-07-18,,0.47,0.27,0.15,,,,
ICM,Guardian,,,2008-07-18,,0.43,0.28,0.19,,,,
YouGov,Telegraph,,,2008-07-23,,0.45,0.26,0.17,,,,
ComRes,Ind,,,2008-07-23,,0.46,0.24,0.18,,,,
Populus,Times,,,2008-07-25,,0.43,0.27,0.18,,,,
YouGov,Telegraph,,,2008-07-29,,0.47,0.25,0.16,,,,
ICM,S Express,,,2008-07-30,,0.45,0.29,0.16,,,,
BPIX,Mail on Sunday,,,2008-07-31,,0.47,0.24,0.16,,,,
YouGov,NOTW,,,2008-08-06,,0.46,0.26,0.17,,,,
YouGov,Sun Times,,,2008-08-14,,0.45,0.25,0.18,,,,
Ipsos MORI,,,,2008-08-15,,0.48,0.24,0.16,,,,
ICM,Guardian,,,2008-08-15,,0.44,0.29,0.19,,,,
YouGov,Compass,,,2008-08-19,,0.48,0.26,0.16,,,,
ComRes,IoS,,,2008-08-20,,0.46,0.25,0.16,,,,
Populus,Times,,,2008-08-29,,0.43,0.27,0.18,,,,
YouGov,Telegraph,,,2008-08-29,,0.45,0.26,0.16,,,,
YouGov,Sun Times,,,2008-09-10,,0.46,0.27,0.16,,,,
Ipsos MORI,,,,2008-09-12,,0.52,0.24,0.12,,,,
YouGov,Telegraph,,,2008-09-17,,0.44,0.24,0.2,,,,
ComRes,IoS,,,2008-09-17,,0.39,0.27,0.21,,,,
YouGov,Sun,,,2008-09-23,,0.41,0.31,0.16,,,,
BPIX,Sun Times,,,2008-09-24,,0.43,0.31,0.17,,,,
ICM,Guardian,,,2008-09-24,,0.41,0.32,0.18,,,,
ComRes,Ind,,,2008-09-26,,0.41,0.29,0.18,,,,
YouGov,Telegraph,,,2008-10-01,,0.45,0.31,0.15,,,,
ICM,Guardian,,,2008-10-01,,0.42,0.3,0.17,,,,
Populus,Times,,,2008-10-03,,0.45,0.3,0.15,,,,
ComRes,Ind,,,2008-10-03,,0.44,0.25,0.17,,,,
YouGov,Sun Times,,,2008-10-09,,0.43,0.33,0.14,,,,
YouGov,Mirror,,,2008-10-15,,0.42,0.34,0.14,,,,
ComRes,IoS,,,2008-10-15,,0.4,0.31,0.16,,,,
BPIX,Mail on Sunday,,,2008-10-16,,0.46,0.3,0.13,,,,
Ipsos MORI,,,,2008-10-17,,0.45,0.3,0.14,,,,
ICM,Guardian,,,2008-10-17,,0.42,0.3,0.21,,,,
YouGov,Telegraph,,,2008-10-27,,0.42,0.33,0.15,,,,
ComRes,Ind,,,2008-10-28,,0.39,0.31,0.16,,,,
BPIX,Mail on Sunday,,,2008-10-31,,0.45,0.31,0.13,,,,
ICM,Sun Times,,,2008-11-05,,0.43,0.3,0.18,,,,
Populus,Times,,,2008-11-07,,0.41,0.35,0.16,,,,
ComRes,IoS,,,2008-11-12,,0.43,0.32,0.12,,,,
YouGov,Sun Times,,,2008-11-13,,0.41,0.36,0.14,,,,
Ipsos MORI,,,,2008-11-14,,0.4,0.37,0.12,,,,
ICM,SMirror,,,2008-11-19,,0.42,0.31,0.19,,,,
YouGov,Telegraph,,,2008-11-24,,0.4,0.36,0.14,,,,
ICM,Guardian,,,2008-11-25,,0.45,0.3,0.18,,,,
Ipsos MORI,Observer,,,2008-11-27,,0.43,0.32,0.15,,,,
ComRes,Ind,,,2008-11-28,,0.37,0.36,0.17,,,,
Populus,Times,,,2008-12-05,,0.39,0.35,0.17,,,,
Ipsos MORI,Mirror,,,2008-12-10,,0.41,0.36,0.11,,,,
ComRes,IoS,,,2008-12-10,,0.37,0.36,0.14,,,,
YouGov,Sun Times,,,2008-12-11,,0.41,0.35,0.15,,,,
Ipsos MORI,,,,2008-12-12,,0.39,0.35,0.15,,,,
ICM,Guardian,,,2008-12-12,,0.38,0.33,0.19,,,,
YouGov,Telegraph,,,2008-12-16,,0.42,0.35,0.14,,,,
ComRes,Ind,,,2008-12-19,,0.39,0.34,0.16,,,,
YouGov,Sun,,,2009-01-07,,0.41,0.34,0.15,,,,
Populus,Times,,,2009-01-09,,0.43,0.33,0.15,,,,
ComRes,IoS,,,2009-01-14,,0.41,0.32,0.15,,,,
YouGov,Sun Times,,,2009-01-15,,0.45,0.32,0.14,,,,
Ipsos MORI,,,,2009-01-16,,0.44,0.3,0.17,,,,
ComRes,Ind,,,2009-01-21,,0.43,0.28,0.16,,,,
ICM,Guardian,,,2009-01-23,,0.44,0.32,0.16,,,,
YouGov,Telegraph,,,2009-01-27,,0.43,0.32,0.16,,,,
ICM,Sun Times,,,2009-02-04,,0.4,0.28,0.22,,,,
Populus,Times,,,2009-02-06,,0.42,0.28,0.18,,,,
ComRes,IoS,,,2009-02-11,,0.41,0.25,0.22,,,,
YouGov,Sun Times,,,2009-02-12,,0.44,0.32,0.14,,,,
Ipsos MORI,,,,2009-02-13,,0.48,0.28,0.17,,,,
ICM,Guardian,,,2009-02-20,,0.42,0.3,0.18,,,,
YouGov,Telegraph,,,2009-02-24,,0.41,0.31,0.15,,,,
ComRes,Ind,,,2009-02-27,,0.44,0.28,0.17,,,,
Populus,Times,,,2009-03-06,,0.42,0.3,0.19,,,,
YouGov,Sun Times,,,2009-03-12,,0.41,0.31,0.17,,,,
ICM,Guardian,,,2009-03-13,,0.42,0.3,0.2,,,,
Ipsos MORI,,,,2009-03-13,,0.42,0.32,0.14,,,,
Ipsos MORI,,,,2009-03-17,,0.41,0.28,0.22,,,,
ComRes,IoS,,,2009-03-18,,0.41,0.3,0.17,,,,
YouGov,Telegraph,,,2009-03-24,,0.41,0.31,0.17,,,,
ICM,Sun Times,,,2009-03-25,,0.44,0.31,0.18,,,,
ComRes,Ind,,,2009-03-27,,0.4,0.28,0.18,,,,
Populus,Times,,,2009-04-03,,0.43,0.3,0.18,,,,
YouGov,Sun Times,,,2009-04-03,,0.41,0.34,0.16,,,,
BPIX,Mail on Sunday,,,2009-04-16,,0.45,0.26,0.17,,,,
ICM,Guardian,,,2009-04-17,,0.4,0.3,0.19,,,,
YouGov,Telegraph,,,2009-04-22,,0.45,0.27,0.18,,,,
YouGov,People,,,2009-04-23,,0.45,0.27,0.17,,,,
ComRes,Ind,,,2009-04-24,,0.45,0.26,0.17,,,,
ICM,TPA,,,2009-05-01,,0.41,0.27,0.21,,,,
YouGov,Sun Times,,,2009-05-07,,0.43,0.27,0.18,,,,
BPIX,Mail on Sunday,,,2009-05-07,,0.45,0.23,0.17,,,,
Populus,Times,,,2009-05-08,,0.39,0.26,0.22,,,,
ComRes,Ios,,,2009-05-13,,0.4,0.21,0.18,,,,
YouGov,Sun,,,2009-05-13,,0.41,0.22,0.19,,,,
YouGov,Telegraph,,,2009-05-14,,0.39,0.23,0.19,,,,
BPIX,Mail on Sunday,,,2009-05-14,,0.42,0.2,0.15,,,,
ICM,Guardian,,,2009-05-15,,0.39,0.28,0.2,,,,
Populus,ITV,,,2009-05-19,,0.39,0.27,0.17,,,,
YouGov,Telegraph,,,2009-05-27,,0.39,0.22,0.18,,,,
ICM,Sun Times,,,2009-05-27,,0.4,0.22,0.25,,,,
Populus,Times,,,2009-05-27,,0.41,0.21,0.15,,,,
YouGov,Channel 4,,,2009-05-29,,0.37,0.22,0.19,,,,
ComRes,Ind,,,2009-05-29,,0.3,0.22,0.18,,,,
Ipsos MORI,,,,2009-05-29,,0.4,0.18,0.18,,,,
YouGov,Telegraph,,,2009-06-02,,0.37,0.21,0.19,,,,
ComRes,Ind,,,2009-06-05,,0.38,0.22,0.2,,,,
Populus,Times,,,2009-06-09,,0.36,0.24,0.19,,,,
Harris,Metro,,,2009-06-10,,0.35,0.2,0.16,,,,
YouGov,Sun Times,,,2009-06-11,,0.4,0.24,0.18,,,,
